GO.ID	Term	Annotated	Significant	Expected	KS
GO:0016122	xanthophyll metabolic process	11	11	11	0.39816
GO:0070483	detection of hypoxia	1	1	1	0.39884
GO:0010243	response to organonitrogen compound	423	423	423	0.39904
GO:0031063	regulation of histone deacetylation	1	1	1	0.39950
GO:0010045	response to nickel cation	1	1	1	0.39970
GO:0006108	malate metabolic process	6	6	6	0.39971
GO:0030198	extracellular matrix organization	26	26	26	0.40004
GO:0016487	farnesol metabolic process	2	2	2	0.40112
GO:2000693	positive regulation of seed maturation	3	3	3	0.40114
GO:0010222	stem vascular tissue pattern formation	4	4	4	0.40284
GO:0016075	rRNA catabolic process	1	1	1	0.40318
GO:0006839	mitochondrial transport	145	145	145	0.40385
GO:0009743	response to carbohydrate	390	390	390	0.40413
GO:0031204	posttranslational protein targeting to membrane, translocation	1	1	1	0.40432
GO:0007032	endosome organization	3	3	3	0.40493
GO:0051571	positive regulation of histone H3-K4 methylation	1	1	1	0.40512
GO:0061087	positive regulation of histone H3-K27 methylation	1	1	1	0.40512
GO:0001881	receptor recycling	1	1	1	0.40552
GO:0031123	RNA 3'-end processing	18	18	18	0.40561
GO:0010215	cellulose microfibril organization	4	4	4	0.40569
GO:0009825	multidimensional cell growth	104	104	104	0.40604
GO:0009804	coumarin metabolic process	55	55	55	0.40631
GO:0009411	response to UV	237	237	237	0.40676
GO:0070455	positive regulation of heme biosynthetic process	1	1	1	0.40714
GO:0009554	megasporogenesis	4	4	4	0.40767
GO:0006513	protein monoubiquitination	5	5	5	0.40837
GO:1902347	response to strigolactone	4	4	4	0.40852
GO:0030010	establishment of cell polarity	3	3	3	0.40971
GO:0000209	protein polyubiquitination	2	2	2	0.41066
GO:1901969	positive regulation of polynucleotide 3'-phosphatase activity	1	1	1	0.41125
GO:1901972	positive regulation of DNA-5-methylcytosine glycosylase activity	1	1	1	0.41125
GO:0030042	actin filament depolymerization	11	11	11	0.41164
GO:0055046	microgametogenesis	24	24	24	0.41180
GO:0034635	glutathione transport	3	3	3	0.41267
GO:0048864	stem cell development	1	1	1	0.41355
GO:0006415	translational termination	10	10	10	0.41370
GO:0010586	miRNA metabolic process	6	6	6	0.41393
GO:0051513	regulation of monopolar cell growth	2	2	2	0.41401
GO:0035019	somatic stem cell population maintenance	1	1	1	0.41402
GO:1902183	regulation of shoot apical meristem development	1	1	1	0.41402
GO:0051322	anaphase	6	6	6	0.41431
GO:0007155	cell adhesion	91	91	91	0.41453
GO:0080170	hydrogen peroxide transmembrane transport	5	5	5	0.41483
GO:0016104	triterpenoid biosynthetic process	41	41	41	0.41616
GO:0010468	regulation of gene expression	1890	1890	1890	0.41693
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	19	19	19	0.41732
GO:0018874	benzoate metabolic process	2	2	2	0.41766
GO:0046345	abscisic acid catabolic process	2	2	2	0.41785
GO:0010228	vegetative to reproductive phase transition of meristem	429	429	429	0.41837
GO:0044262	cellular carbohydrate metabolic process	653	653	653	0.41841
GO:0009440	cyanate catabolic process	1	1	1	0.41857
GO:0008535	respiratory chain complex IV assembly	2	2	2	0.41873
GO:0052543	callose deposition in cell wall	46	46	46	0.41892
GO:0080037	negative regulation of cytokinin-activated signaling pathway	3	3	3	0.41980
GO:0071281	cellular response to iron ion	30	30	30	0.42050
GO:0007009	plasma membrane organization	6	6	6	0.42061
GO:0009958	positive gravitropism	26	26	26	0.42137
GO:0042371	vitamin K biosynthetic process	1	1	1	0.42225
GO:0006221	pyrimidine nucleotide biosynthetic process	134	134	134	0.42264
GO:0046109	uridine biosynthetic process	1	1	1	0.42328
GO:0009740	gibberellic acid mediated signaling pathway	66	66	66	0.42427
GO:0009944	polarity specification of adaxial/abaxial axis	75	75	75	0.42513
GO:0080009	mRNA methylation	1	1	1	0.42526
GO:0006044	N-acetylglucosamine metabolic process	1	1	1	0.42581
GO:0009823	cytokinin catabolic process	7	7	7	0.42714
GO:0009812	flavonoid metabolic process	226	226	226	0.42783
GO:0009395	phospholipid catabolic process	5	5	5	0.42842
GO:0043132	NAD transport	3	3	3	0.42897
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	7	7	7	0.42935
GO:0007005	mitochondrion organization	123	123	123	0.43006
GO:2000114	regulation of establishment of cell polarity	1	1	1	0.43014
GO:0045876	positive regulation of sister chromatid cohesion	1	1	1	0.43014
GO:0009616	virus induced gene silencing	102	102	102	0.43020
GO:0006887	exocytosis	21	21	21	0.43028
GO:0009695	jasmonic acid biosynthetic process	128	128	128	0.43060
GO:0010219	regulation of vernalization response	5	5	5	0.43099
GO:0043481	anthocyanin accumulation in tissues in response to UV light	105	105	105	0.43272
GO:0010014	meristem initiation	167	167	167	0.43339
GO:0015994	chlorophyll metabolic process	187	187	187	0.43348
GO:0043686	co-translational protein modification	1	1	1	0.43393
GO:0006824	cobalt ion transport	2	2	2	0.43419
GO:0006643	membrane lipid metabolic process	156	156	156	0.43524
GO:0010150	leaf senescence	67	67	67	0.43642
GO:0010500	transmitting tissue development	1	1	1	0.43649
GO:0045491	xylan metabolic process	185	185	185	0.43905
GO:0009877	nodulation	1	1	1	0.44037
GO:0048364	root development	609	609	609	0.44213
GO:0009644	response to high light intensity	212	212	212	0.44221
GO:0030048	actin filament-based movement	52	52	52	0.44233
GO:0045010	actin nucleation	101	101	101	0.44362
GO:0009446	putrescine biosynthetic process	2	2	2	0.44366
GO:0010390	histone monoubiquitination	2	2	2	0.44420
GO:0046938	phytochelatin biosynthetic process	2	2	2	0.44489
GO:0010265	SCF complex assembly	1	1	1	0.44504
GO:0071366	cellular response to indolebutyric acid stimulus	2	2	2	0.44523
GO:0010019	chloroplast-nucleus signaling pathway	8	8	8	0.44579
GO:0009645	response to low light intensity stimulus	7	7	7	0.44585
GO:0002240	response to molecule of oomycetes origin	2	2	2	0.44622
GO:0010587	miRNA catabolic process	5	5	5	0.44749
GO:0010187	negative regulation of seed germination	16	16	16	0.44762
GO:0007030	Golgi organization	177	177	177	0.44817
GO:0042780	tRNA 3'-end processing	4	4	4	0.44867
GO:0006672	ceramide metabolic process	5	5	5	0.44905
GO:0019354	siroheme biosynthetic process	2	2	2	0.44909
GO:0010492	maintenance of shoot apical meristem identity	12	12	12	0.44927
GO:0009098	leucine biosynthetic process	6	6	6	0.44943
GO:0033198	response to ATP	1	1	1	0.44993
GO:0006540	glutamate decarboxylation to succinate	2	2	2	0.45023
GO:0009450	gamma-aminobutyric acid catabolic process	2	2	2	0.45023
GO:0006426	glycyl-tRNA aminoacylation	2	2	2	0.45122
GO:0000412	histone peptidyl-prolyl isomerization	3	3	3	0.45171
GO:0017004	cytochrome complex assembly	15	15	15	0.45239
GO:0046854	phosphatidylinositol phosphorylation	2	2	2	0.45246
GO:0006829	zinc II ion transport	12	12	12	0.45261
GO:0042372	phylloquinone biosynthetic process	8	8	8	0.45262
GO:0009688	abscisic acid biosynthetic process	31	31	31	0.45287
GO:0048527	lateral root development	121	121	121	0.45295
GO:0032042	mitochondrial DNA metabolic process	3	3	3	0.45363
GO:0090351	seedling development	229	229	229	0.45374
GO:0009865	pollen tube adhesion	2	2	2	0.45504
GO:0006020	inositol metabolic process	8	8	8	0.45508
GO:0071486	cellular response to high light intensity	6	6	6	0.45551
GO:0006167	AMP biosynthetic process	1	1	1	0.45604
GO:0006750	glutathione biosynthetic process	2	2	2	0.45624
GO:0010038	response to metal ion	574	574	574	0.45647
GO:0010024	phytochromobilin biosynthetic process	3	3	3	0.45732
GO:0009850	auxin metabolic process	134	134	134	0.45809
GO:0010017	red or far-red light signaling pathway	43	43	43	0.45899
GO:0009835	fruit ripening	2	2	2	0.45938
GO:0046785	microtubule polymerization	70	70	70	0.46008
GO:0006820	anion transport	558	558	558	0.46085
GO:0010048	vernalization response	99	99	99	0.46099
GO:0015712	hexose phosphate transport	3	3	3	0.46103
GO:0009753	response to jasmonic acid	445	445	445	0.46137
GO:0042276	error-prone translesion synthesis	2	2	2	0.46138
GO:0071277	cellular response to calcium ion	2	2	2	0.46143
GO:0016233	telomere capping	3	3	3	0.46229
GO:0071454	cellular response to anoxia	2	2	2	0.46243
GO:0010305	leaf vascular tissue pattern formation	24	24	24	0.46296
GO:0009585	red, far-red light phototransduction	14	14	14	0.46336
GO:0006517	protein deglycosylation	2	2	2	0.46358
GO:0006396	RNA processing	778	778	778	0.46367
GO:0015853	adenine transport	2	2	2	0.46468
GO:0015854	guanine transport	2	2	2	0.46468
GO:0042128	nitrate assimilation	11	11	11	0.46489
GO:0031365	N-terminal protein amino acid modification	149	149	149	0.46504
GO:0010029	regulation of seed germination	70	70	70	0.46539
GO:1901997	negative regulation of indoleacetic acid biosynthetic process via tryptophan	1	1	1	0.46544
GO:0009789	positive regulation of abscisic acid-activated signaling pathway	18	18	18	0.46557
GO:0006139	nucleobase-containing compound metabolic process	3688	3688	3688	0.46676
GO:0000271	polysaccharide biosynthetic process	564	564	564	0.46709
GO:0070509	calcium ion import	1	1	1	0.46771
GO:2000035	regulation of stem cell division	1	1	1	0.46785
GO:0009405	pathogenesis	2	2	2	0.46794
GO:0006338	chromatin remodeling	27	27	27	0.46839
GO:0009641	shade avoidance	17	17	17	0.46864
GO:0006266	DNA ligation	4	4	4	0.46896
GO:0035195	gene silencing by miRNA	137	137	137	0.46926
GO:0048827	phyllome development	737	737	737	0.46944
GO:0009269	response to desiccation	37	37	37	0.46974
GO:0048441	petal development	85	85	85	0.46977
GO:0006862	nucleotide transport	38	38	38	0.47002
GO:0015802	basic amino acid transport	29	29	29	0.47024
GO:0000712	resolution of meiotic recombination intermediates	5	5	5	0.47069
GO:0072583	clathrin-dependent endocytosis	3	3	3	0.47069
GO:0043562	cellular response to nitrogen levels	29	29	29	0.47136
GO:0071482	cellular response to light stimulus	77	77	77	0.47154
GO:0043631	RNA polyadenylation	9	9	9	0.47240
GO:0043153	entrainment of circadian clock by photoperiod	3	3	3	0.47242
GO:0010353	response to trehalose	2	2	2	0.47252
GO:2001020	regulation of response to DNA damage stimulus	9	9	9	0.47335
GO:0046688	response to copper ion	13	13	13	0.47448
GO:0016050	vesicle organization	7	7	7	0.47471
GO:0016579	protein deubiquitination	54	54	54	0.47474
GO:0048510	regulation of timing of transition from vegetative to reproductive phase	24	24	24	0.47572
GO:0045454	cell redox homeostasis	13	13	13	0.47604
GO:0009583	detection of light stimulus	15	15	15	0.47629
GO:0010160	formation of animal organ boundary	1	1	1	0.47633
GO:2000022	regulation of jasmonic acid mediated signaling pathway	6	6	6	0.47645
GO:0080187	floral organ senescence	2	2	2	0.47706
GO:0005975	carbohydrate metabolic process	1229	1229	1229	0.47714
GO:0010188	response to microbial phytotoxin	6	6	6	0.47750
GO:0048831	regulation of shoot system development	360	360	360	0.47772
GO:0071483	cellular response to blue light	20	20	20	0.47882
GO:0046621	negative regulation of organ growth	4	4	4	0.47895
GO:1902584	positive regulation of response to water deprivation	1	1	1	0.47934
GO:0015678	high-affinity copper ion transport	1	1	1	0.48034
GO:0006306	DNA methylation	180	180	180	0.48066
GO:0006294	nucleotide-excision repair, preincision complex assembly	1	1	1	0.48077
GO:0048507	meristem development	457	457	457	0.48103
GO:0042450	arginine biosynthetic process via ornithine	2	2	2	0.48166
GO:0042325	regulation of phosphorylation	52	52	52	0.48198
GO:0010099	regulation of photomorphogenesis	25	25	25	0.48406
GO:0051973	positive regulation of telomerase activity	2	2	2	0.48452
GO:2000234	positive regulation of rRNA processing	1	1	1	0.48572
GO:0015812	gamma-aminobutyric acid transport	2	2	2	0.48619
GO:0015743	malate transport	6	6	6	0.48680
GO:0048768	root hair cell tip growth	16	16	16	0.48826
GO:0009063	cellular amino acid catabolic process	155	155	155	0.48874
GO:0019276	UDP-N-acetylgalactosamine metabolic process	2	2	2	0.49011
GO:0006047	UDP-N-acetylglucosamine metabolic process	5	5	5	0.49014
GO:0006807	nitrogen compound metabolic process	4732	4732	4732	0.49039
GO:0080065	4-alpha-methyl-delta7-sterol oxidation	2	2	2	0.49124
GO:0015858	nucleoside transport	2	2	2	0.49137
GO:0010094	specification of carpel identity	1	1	1	0.49178
GO:0006427	histidyl-tRNA aminoacylation	2	2	2	0.49195
GO:0061062	regulation of nematode larval development	2	2	2	0.49210
GO:0009629	response to gravity	162	162	162	0.49232
GO:0010197	polar nucleus fusion	17	17	17	0.49249
GO:0000380	alternative mRNA splicing, via spliceosome	4	4	4	0.49309
GO:0015780	nucleotide-sugar transport	14	14	14	0.49351
GO:0000719	photoreactive repair	3	3	3	0.49443
GO:0009727	detection of ethylene stimulus	3	3	3	0.49568
GO:0055063	sulfate ion homeostasis	1	1	1	0.49597
GO:0006379	mRNA cleavage	5	5	5	0.49627
GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process	1	1	1	0.49734
GO:0090408	phloem nitrate loading	1	1	1	0.49785
GO:0016575	histone deacetylation	12	12	12	0.49835
GO:0009959	negative gravitropism	7	7	7	0.49840
GO:0000491	small nucleolar ribonucleoprotein complex assembly	1	1	1	0.49872
GO:0006435	threonyl-tRNA aminoacylation	3	3	3	0.49945
GO:0046685	response to arsenic-containing substance	36	36	36	0.50194
GO:0010212	response to ionizing radiation	93	93	93	0.50323
GO:0048657	anther wall tapetum cell differentiation	3	3	3	0.50343
GO:0009729	detection of brassinosteroid stimulus	2	2	2	0.50347
GO:0045037	protein import into chloroplast stroma	15	15	15	0.50355
GO:0048016	inositol phosphate-mediated signaling	1	1	1	0.50365
GO:0007093	mitotic cell cycle checkpoint	8	8	8	0.50372
GO:0071668	plant-type cell wall assembly	6	6	6	0.50480
GO:0055122	response to very low light intensity stimulus	2	2	2	0.50492
GO:0051865	protein autoubiquitination	11	11	11	0.50524
GO:0009067	aspartate family amino acid biosynthetic process	116	116	116	0.50556
GO:0009561	megagametogenesis	176	176	176	0.50559
GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity	3	3	3	0.50569
GO:0019255	glucose 1-phosphate metabolic process	4	4	4	0.50654
GO:0080024	indolebutyric acid metabolic process	5	5	5	0.50725
GO:0040020	regulation of meiotic nuclear division	9	9	9	0.50784
GO:0009225	nucleotide-sugar metabolic process	40	40	40	0.50844
GO:0051776	detection of redox state	1	1	1	0.50977
GO:0031591	wybutosine biosynthetic process	1	1	1	0.51086
GO:0010220	positive regulation of vernalization response	3	3	3	0.51091
GO:0009294	DNA mediated transformation	29	29	29	0.51136
GO:2000541	positive regulation of protein geranylgeranylation	1	1	1	0.51247
GO:0010107	potassium ion import	5	5	5	0.51296
GO:0009150	purine ribonucleotide metabolic process	242	242	242	0.51340
GO:0016132	brassinosteroid biosynthetic process	116	116	116	0.51390
GO:0006182	cGMP biosynthetic process	1	1	1	0.51393
GO:0019915	lipid storage	82	82	82	0.51418
GO:0048367	shoot system development	1237	1237	1237	0.51459
GO:0006353	DNA-templated transcription, termination	2	2	2	0.51476
GO:0048194	Golgi vesicle budding	1	1	1	0.51495
GO:0050832	defense response to fungus	330	330	330	0.51535
GO:0000272	polysaccharide catabolic process	46	46	46	0.51580
GO:0071076	RNA 3' uridylation	1	1	1	0.51641
GO:0046855	inositol phosphate dephosphorylation	22	22	22	0.51650
GO:0009165	nucleotide biosynthetic process	264	264	264	0.51668
GO:0010582	floral meristem determinacy	9	9	9	0.51676
GO:0000914	phragmoplast assembly	6	6	6	0.51680
GO:0009661	chromoplast organization	1	1	1	0.51714
GO:0051645	Golgi localization	42	42	42	0.51767
GO:0051646	mitochondrion localization	42	42	42	0.51767
GO:0060151	peroxisome localization	42	42	42	0.51767
GO:0010589	leaf proximal/distal pattern formation	3	3	3	0.51796
GO:0006012	galactose metabolic process	17	17	17	0.51806
GO:0060211	regulation of nuclear-transcribed mRNA poly(A) tail shortening	1	1	1	0.51868
GO:0008615	pyridoxine biosynthetic process	4	4	4	0.51898
GO:0032509	endosome transport via multivesicular body sorting pathway	3	3	3	0.51905
GO:0042814	monopolar cell growth	5	5	5	0.51969
GO:0043484	regulation of RNA splicing	6	6	6	0.52104
GO:0032365	intracellular lipid transport	3	3	3	0.52274
GO:0019632	shikimate metabolic process	4	4	4	0.52286
GO:0007186	G-protein coupled receptor signaling pathway	14	14	14	0.52301
GO:0071497	cellular response to freezing	2	2	2	0.52419
GO:0046167	glycerol-3-phosphate biosynthetic process	1	1	1	0.52462
GO:0010044	response to aluminum ion	7	7	7	0.52474
GO:0010434	bract formation	2	2	2	0.52595
GO:0010254	nectary development	2	2	2	0.52595
GO:0034755	iron ion transmembrane transport	2	2	2	0.52641
GO:0071421	manganese ion transmembrane transport	1	1	1	0.52646
GO:0009875	pollen-pistil interaction	5	5	5	0.52658
GO:0046835	carbohydrate phosphorylation	3	3	3	0.52731
GO:0042023	DNA endoreduplication	116	116	116	0.52734
GO:0006002	fructose 6-phosphate metabolic process	1	1	1	0.52807
GO:0006003	fructose 2,6-bisphosphate metabolic process	1	1	1	0.52807
GO:0006367	transcription initiation from RNA polymerase II promoter	2	2	2	0.52824
GO:0051453	regulation of intracellular pH	3	3	3	0.52835
GO:0009846	pollen germination	42	42	42	0.52851
GO:0034757	negative regulation of iron ion transport	2	2	2	0.52891
GO:1900384	regulation of flavonol biosynthetic process	1	1	1	0.52903
GO:0080117	secondary growth	4	4	4	0.52904
GO:0051570	regulation of histone H3-K9 methylation	4	4	4	0.53096
GO:0009652	thigmotropism	5	5	5	0.53100
GO:1901332	negative regulation of lateral root development	1	1	1	0.53116
GO:0009432	SOS response	3	3	3	0.53173
GO:0006865	amino acid transport	243	243	243	0.53187
GO:0043067	regulation of programmed cell death	386	386	386	0.53257
GO:0016126	sterol biosynthetic process	162	162	162	0.53266
GO:0006308	DNA catabolic process	6	6	6	0.53300
GO:0043157	response to cation stress	4	4	4	0.53353
GO:0033234	negative regulation of protein sumoylation	1	1	1	0.53470
GO:0009089	lysine biosynthetic process via diaminopimelate	8	8	8	0.53520
GO:0006621	protein retention in ER lumen	1	1	1	0.53536
GO:0048255	mRNA stabilization	3	3	3	0.53539
GO:0071446	cellular response to salicylic acid stimulus	338	338	338	0.53545
GO:1902609	(R)-2-hydroxy-alpha-linolenic acid biosynthetic process	2	2	2	0.53574
GO:0010352	lithium ion export	1	1	1	0.53588
GO:0010493	Lewis a epitope biosynthetic process	2	2	2	0.53589
GO:0030327	prenylated protein catabolic process	1	1	1	0.53595
GO:0006561	proline biosynthetic process	8	8	8	0.53616
GO:0071494	cellular response to UV-C	1	1	1	0.53639
GO:0000012	single strand break repair	1	1	1	0.53691
GO:0010432	bract development	3	3	3	0.53786
GO:0010451	floral meristem growth	3	3	3	0.53794
GO:0009409	response to cold	573	573	573	0.53849
GO:0015739	sialic acid transport	1	1	1	0.53890
GO:0015774	polysaccharide transport	3	3	3	0.54025
GO:0009704	de-etiolation	10	10	10	0.54030
GO:0048482	plant ovule morphogenesis	1	1	1	0.54208
GO:0048440	carpel development	192	192	192	0.54263
GO:0006888	ER to Golgi vesicle-mediated transport	89	89	89	0.54273
GO:0010387	COP9 signalosome assembly	6	6	6	0.54366
GO:0031060	regulation of histone methylation	7	7	7	0.54413
GO:0005992	trehalose biosynthetic process	18	18	18	0.54488
GO:0080172	petal epidermis patterning	1	1	1	0.54489
GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	1	1	1	0.54592
GO:0042425	choline biosynthetic process	1	1	1	0.54637
GO:0080151	positive regulation of salicylic acid mediated signaling pathway	2	2	2	0.54676
GO:0010105	negative regulation of ethylene-activated signaling pathway	12	12	12	0.54694
GO:0006302	double-strand break repair	104	104	104	0.54788
GO:0090309	positive regulation of methylation-dependent chromatin silencing	3	3	3	0.54866
GO:0010424	DNA methylation on cytosine within a CG sequence	3	3	3	0.54866
GO:0009961	response to 1-aminocyclopropane-1-carboxylic acid	4	4	4	0.54882
GO:0043335	protein unfolding	1	1	1	0.54918
GO:0019419	sulfate reduction	3	3	3	0.54923
GO:0048838	release of seed from dormancy	3	3	3	0.54926
GO:0032784	regulation of DNA-templated transcription, elongation	3	3	3	0.54976
GO:1900424	regulation of defense response to bacterium	6	6	6	0.55000
GO:0006342	chromatin silencing	242	242	242	0.55035
GO:0048598	embryonic morphogenesis	23	23	23	0.55052
GO:0010438	cellular response to sulfur starvation	4	4	4	0.55075
GO:0005991	trehalose metabolic process	21	21	21	0.55081
GO:0048575	short-day photoperiodism, flowering	9	9	9	0.55129
GO:0006268	DNA unwinding involved in DNA replication	9	9	9	0.55154
GO:0080060	integument development	5	5	5	0.55265
GO:0007338	single fertilization	1	1	1	0.55289
GO:0010081	regulation of inflorescence meristem growth	1	1	1	0.55304
GO:0010255	glucose mediated signaling pathway	5	5	5	0.55331
GO:0032776	DNA methylation on cytosine	6	6	6	0.55335
GO:0006573	valine metabolic process	2	2	2	0.55530
GO:0006659	phosphatidylserine biosynthetic process	2	2	2	0.55609
GO:0002764	immune response-regulating signaling pathway	2	2	2	0.55619
GO:0008654	phospholipid biosynthetic process	384	384	384	0.55628
GO:0051258	protein polymerization	181	181	181	0.55689
GO:2001294	malonyl-CoA catabolic process	1	1	1	0.55734
GO:0009970	cellular response to sulfate starvation	13	13	13	0.55741
GO:0006529	asparagine biosynthetic process	3	3	3	0.55791
GO:0048658	anther wall tapetum development	5	5	5	0.55807
GO:0000302	response to reactive oxygen species	302	302	302	0.55818
GO:0010617	circadian regulation of calcium ion oscillation	3	3	3	0.55825
GO:0006148	inosine catabolic process	2	2	2	0.55898
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	1	1	1	0.55905
GO:0007346	regulation of mitotic cell cycle	102	102	102	0.55966
GO:0009772	photosynthetic electron transport in photosystem II	7	7	7	0.56005
GO:0006499	N-terminal protein myristoylation	145	145	145	0.56085
GO:0048354	mucilage biosynthetic process involved in seed coat development	5	5	5	0.56095
GO:0007004	telomere maintenance via telomerase	4	4	4	0.56110
GO:0009625	response to insect	42	42	42	0.56113
GO:0009722	detection of cytokinin stimulus	1	1	1	0.56135
GO:0071345	cellular response to cytokine stimulus	1	1	1	0.56135
GO:0019079	viral genome replication	5	5	5	0.56312
GO:0018063	cytochrome c-heme linkage	1	1	1	0.56328
GO:0010112	regulation of systemic acquired resistance	10	10	10	0.56431
GO:0017126	nucleologenesis	1	1	1	0.56455
GO:0080141	regulation of jasmonic acid biosynthetic process	3	3	3	0.56469
GO:0048227	plasma membrane to endosome transport	1	1	1	0.56507
GO:0006399	tRNA metabolic process	106	106	106	0.56662
GO:0010074	maintenance of meristem identity	50	50	50	0.56687
GO:0071249	cellular response to nitrate	3	3	3	0.56770
GO:0007584	response to nutrient	10	10	10	0.56772
GO:0016578	histone deubiquitination	1	1	1	0.56790
GO:0051262	protein tetramerization	5	5	5	0.56795
GO:0030154	cell differentiation	923	923	923	0.56824
GO:0000096	sulfur amino acid metabolic process	337	337	337	0.56909
GO:0016310	phosphorylation	898	898	898	0.56940
GO:0000919	cell plate assembly	11	11	11	0.57059
GO:0016444	somatic cell DNA recombination	32	32	32	0.57211
GO:0051782	negative regulation of cell division	3	3	3	0.57238
GO:0019279	L-methionine biosynthetic process from L-homoserine via cystathionine	1	1	1	0.57266
GO:0046740	transport of virus in host, cell to cell	3	3	3	0.57320
GO:0032456	endocytic recycling	3	3	3	0.57320
GO:0016131	brassinosteroid metabolic process	121	121	121	0.57387
GO:0016236	macroautophagy	2	2	2	0.57456
GO:0046470	phosphatidylcholine metabolic process	6	6	6	0.57470
GO:0010555	response to mannitol	9	9	9	0.57513
GO:0000082	G1/S transition of mitotic cell cycle	4	4	4	0.57640
GO:0006421	asparaginyl-tRNA aminoacylation	2	2	2	0.57724
GO:0009647	skotomorphogenesis	4	4	4	0.57797
GO:2000762	regulation of phenylpropanoid metabolic process	10	10	10	0.57818
GO:2000028	regulation of photoperiodism, flowering	13	13	13	0.57898
GO:0010654	apical cell fate commitment	1	1	1	0.57900
GO:0090451	cotyledon boundary formation	1	1	1	0.57900
GO:0044419	interspecies interaction between organisms	214	214	214	0.57979
GO:0010117	photoprotection	6	6	6	0.58025
GO:0006810	transport	2706	2706	2706	0.58137
GO:0042821	pyridoxal biosynthetic process	1	1	1	0.58161
GO:0070070	proton-transporting V-type ATPase complex assembly	3	3	3	0.58295
GO:0009662	etioplast organization	3	3	3	0.58310
GO:0009698	phenylpropanoid metabolic process	165	165	165	0.58494
GO:0000162	tryptophan biosynthetic process	18	18	18	0.58542
GO:0034050	host programmed cell death induced by symbiont	390	390	390	0.58646
GO:0006434	seryl-tRNA aminoacylation	2	2	2	0.58663
GO:0015698	inorganic anion transport	252	252	252	0.58778
GO:0007389	pattern specification process	311	311	311	0.58796
GO:0015986	ATP synthesis coupled proton transport	11	11	11	0.58802
GO:0010629	negative regulation of gene expression	619	619	619	0.58802
GO:0051764	actin crosslink formation	1	1	1	0.58914
GO:0016482	cytosolic transport	8	8	8	0.58917
GO:0012501	programmed cell death	434	434	434	0.59015
GO:0055078	sodium ion homeostasis	3	3	3	0.59019
GO:0051131	chaperone-mediated protein complex assembly	2	2	2	0.59080
GO:0046719	regulation by virus of viral protein levels in host cell	1	1	1	0.59086
GO:0018920	glyphosate metabolic process	2	2	2	0.59206
GO:0010496	intercellular transport	13	13	13	0.59212
GO:0048826	cotyledon morphogenesis	16	16	16	0.59234
GO:0010062	negative regulation of trichoblast fate specification	1	1	1	0.59273
GO:0006788	heme oxidation	2	2	2	0.59360
GO:0010288	response to lead ion	4	4	4	0.59487
GO:0016441	posttranscriptional gene silencing	197	197	197	0.59598
GO:0046520	sphingoid biosynthetic process	31	31	31	0.59612
GO:0000060	protein import into nucleus, translocation	5	5	5	0.59612
GO:0045292	mRNA cis splicing, via spliceosome	2	2	2	0.59755
GO:0006833	water transport	137	137	137	0.59849
GO:0051555	flavonol biosynthetic process	7	7	7	0.59899
GO:0010244	response to low fluence blue light stimulus by blue low-fluence system	4	4	4	0.59977
GO:0080036	regulation of cytokinin-activated signaling pathway	9	9	9	0.59981
GO:0048522	positive regulation of cellular process	715	715	715	0.59994
GO:0010091	trichome branching	24	24	24	0.60020
GO:0006884	cell volume homeostasis	2	2	2	0.60024
GO:0019563	glycerol catabolic process	3	3	3	0.60104
GO:0000338	protein deneddylation	5	5	5	0.60180
GO:0009747	hexokinase-dependent signaling	1	1	1	0.60207
GO:0015867	ATP transport	6	6	6	0.60257
GO:0042775	mitochondrial ATP synthesis coupled electron transport	18	18	18	0.60315
GO:0006351	transcription, DNA-templated	1813	1813	1813	0.60330
GO:0055071	manganese ion homeostasis	6	6	6	0.60338
GO:0000041	transition metal ion transport	223	223	223	0.60380
GO:1901979	regulation of inward rectifier potassium channel activity	1	1	1	0.60393
GO:0048263	determination of dorsal identity	1	1	1	0.60468
GO:0010483	pollen tube reception	2	2	2	0.60564
GO:0009821	alkaloid biosynthetic process	13	13	13	0.60612
GO:0006983	ER overload response	2	2	2	0.60621
GO:0022622	root system development	610	610	610	0.60698
GO:0090056	regulation of chlorophyll metabolic process	18	18	18	0.60704
GO:0010564	regulation of cell cycle process	139	139	139	0.60716
GO:0015760	glucose-6-phosphate transport	2	2	2	0.60728
GO:0009901	anther dehiscence	10	10	10	0.60776
GO:0009942	longitudinal axis specification	8	8	8	0.60822
GO:0010342	endosperm cellularization	2	2	2	0.60828
GO:0031110	regulation of microtubule polymerization or depolymerization	6	6	6	0.60883
GO:0010321	regulation of vegetative phase change	3	3	3	0.60971
GO:1900871	chloroplast mRNA modification	2	2	2	0.61156
GO:0010015	root morphogenesis	451	451	451	0.61301
GO:0033345	asparagine catabolic process via L-aspartate	4	4	4	0.61348
GO:0006516	glycoprotein catabolic process	4	4	4	0.61348
GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	92	92	92	0.61396
GO:0008361	regulation of cell size	54	54	54	0.61566
GO:0009873	ethylene-activated signaling pathway	114	114	114	0.61605
